method,backend_mode,em,f1,avg_steps,avg_retrieval,avg_retrieved_chunks_total,avg_prompt_tokens_total,avg_completion_tokens_total,p50_latency_ms,p95_latency_ms,gpu_peak_mb,gpu_mean_mb,oom_count
baseline_rag_formal_anchor_4b_canonical,real,0.0058823529411764705,0.2552392170234326,1.0,1.0,3.9992156862745096,1497.4121568627452,24.274509803921568,26239.191199999877,41436.778615000076,4611.90234375,4193.3004411764705,0
edge_agent_formal_paper_canonical_s42,real,0.0027450980392156863,0.3351188481952242,1.8647058823529412,2.787843137254902,4.0819607843137256,3091.3058823529414,31.098823529411764,36031.598099999996,55228.443564999834,4565.796875,4254.1995560151145,3
