method,run_tag,key_tasks,key_agg,n_tasks,n_samples,backend_mode,em,f1,avg_steps,avg_retrieval,avg_retrieved_chunks_total,avg_prompt_tokens_total,avg_completion_tokens_total,p50_latency_ms,p95_latency_ms,gpu_peak_mb,gpu_mean_mb,oom_count
baseline_rag_formal_anchor_4b_canonical,formal_paper_canonical_s42_current,multi_doc_qa|code_qa,macro,2,1800,real,0.00625,0.2522397428267787,1.0,1.0,4.0,1612.6405,24.089125000000003,26160.60142499998,30350.444864999958,4580.876953125,4229.971678222656,0
edge_agent_formal_paper_canonical_s42,formal_paper_canonical_s42_current,multi_doc_qa|code_qa,macro,2,1800,real,0.001875,0.37056797984029355,1.881625,2.7971250000000003,3.7971250000000003,2865.701875,22.1685,35114.89592500004,42483.30429000005,4414.689453125,4260.843334960938,0
