method,em,f1,avg_steps,avg_retrieval,p50_latency_ms,p95_latency_ms,gpu_peak_mb,gpu_mean_mb,oom_count
baseline_tiny,0.0,0.35582010582010576,1.0,1.0,1.597832999999993,4.978533600000017,0.0,0.0,0
edge_agent_tiny,0.0,0.35582010582010576,1.0,1.0,1.1054999999999953,4.824749999999993,0.0,0.0,0
